District,DBN,School Name,Grade,Group,Class,Year,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,5,,,2013,34,306,11,32.4,11,32.4,8,23.5,4,11.8,12,35.3
02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,6,,Class 1,2013,23,288,9,39.1,10,43.5,3,13,1,4.3,4,17.4
02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,7,,,2013,30,297,10,33.3,13,43.3,7,23.3,0,0,7,23.3
02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,8,,,2013,27,295,11,40.7,12,44.4,3,11.1,1,3.7,4,14.8
02,02M225,ELLA BAKER SCHOOL,3,Group 1,,2013,16,295,4,25,8,50,4,25,0,0,4,25
02,02M225,ELLA BAKER SCHOOL,4,,,2013,15,319,1,6.7,5,33.3,6,40,3,20,9,60
02,02M225,ELLA BAKER SCHOOL,5,,,2013,27,311,7,25.9,9,33.3,7,25.9,4,14.8,11,40.7
02,02M225,ELLA BAKER SCHOOL,6,,Class 1,2013,17,295,4,23.5,10,58.8,3,17.6,0,0,3,17.6
02,02M225,ELLA BAKER SCHOOL,7,,,2013,13,302,2,15.4,10,76.9,1,7.7,0,0,1,7.7
02,02M225,ELLA BAKER SCHOOL,8,,,2013,9,299,3,33.3,4,44.4,2,22.2,0,0,2,22.2
02,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,6,,Class 1,2013,129,337,7,5.4,12,9.3,43,33.3,67,51.9,110,85.3
02,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,7,,,2013,126,334,6,4.8,20,15.9,59,46.8,41,32.5,100,79.4
02,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,8,,,2013,122,335,7,5.7,22,18,46,37.7,47,38.5,93,76.2
02,02M260,THE CLINTON SCHOOL,6,,Class 1,2013,81,326,5,6.2,23,28.4,31,38.3,22,27.2,53,65.4
02,02M260,THE CLINTON SCHOOL,7,,,2013,81,317,17,21,27,33.3,25,30.9,12,14.8,37,45.7
02,02M260,THE CLINTON SCHOOL,8,,,2013,78,334,7,9,16,20.5,29,37.2,26,33.3,55,70.5
02,02M276,BATTERY PARK CITY SCHOOL,3,Group 1,,2013,86,329,6,7,15,17.4,37,43,28,32.6,65,75.6
02,02M276,BATTERY PARK CITY SCHOOL,4,,,2013,60,329,3,5,14,23.3,21,35,22,36.7,43,71.7
02,02M276,BATTERY PARK CITY SCHOOL,6,,Class 1,2013,91,326,7,7.7,22,24.2,29,31.9,33,36.3,62,68.1
02,02M276,BATTERY PARK CITY SCHOOL,7,,,2013,83,319,9,10.8,36,43.4,32,38.6,6,7.2,38,45.8
02,02M276,BATTERY PARK CITY SCHOOL,8,,,2013,59,326,5,8.5,17,28.8,25,42.4,12,20.3,37,62.7
02,02M289,I.S. 289,6,,Class 1,2013,98,328,7,7.1,24,24.5,32,32.7,35,35.7,67,68.4
02,02M289,I.S. 289,7,,,2013,95,324,12,12.6,27,28.4,35,36.8,21,22.1,56,58.9
02,02M289,I.S. 289,8,,,2013,83,319,11,13.3,32,38.6,23,27.7,17,20.5,40,48.2
02,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,6,,Class 1,2013,180,352,5,2.8,10,5.6,34,18.9,131,72.8,165,91.7
02,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,7,,,2013,178,348,8,4.5,9,5.1,59,33.1,102,57.3,161,90.4
02,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,8,,,2013,179,353,3,1.7,6,3.4,57,31.8,113,63.1,170,95
02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,3,Group 1,,2013,6,267,3,50,3,50,0,0,0,0,0,0
02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,4,,,2013,1,,,,,,,,,,,
02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,5,,,2013,4,,,,,,,,,,,
02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,6,,Class 1,2013,7,282,4,57.1,2,28.6,1,14.3,0,0,1,14.3
02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,7,,,2013,7,274,4,57.1,3,42.9,0,0,0,0,0,0
02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,8,,,2013,12,280,7,58.3,5,41.7,0,0,0,0,0,0
02,02M397,SPRUCE STREET SCHOOL,3,Group 1,,2013,47,326,4,8.5,13,27.7,12,25.5,18,38.3,30,63.8
02,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,6,,Class 1,2013,32,325,1,3.1,10,31.3,14,43.8,7,21.9,21,65.6
02,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,7,,,2013,55,316,9,16.4,19,34.5,25,45.5,2,3.6,27,49.1
02,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,8,,,2013,47,310,6,12.8,19,40.4,19,40.4,3,6.4,22,46.8
02,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,6,,Class 1,2013,28,313,2,7.1,15,53.6,9,32.1,2,7.1,11,39.3
02,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,7,,,2013,30,325,2,6.7,8,26.7,18,60,2,6.7,20,66.7
02,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,8,,,2013,31,319,3,9.7,13,41.9,13,41.9,2,6.5,15,48.4
02,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,6,,Class 1,2013,92,334,4,4.3,15,16.3,32,34.8,41,44.6,73,79.3
02,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,7,,,2013,93,325,4,4.3,39,41.9,31,33.3,19,20.4,50,53.8
02,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,8,,,2013,87,327,1,1.1,31,35.6,42,48.3,13,14.9,55,63.2
02,02M422,QUEST TO LEARN,6,,Class 1,2013,96,310,23,24,32,33.3,20,20.8,21,21.9,41,42.7
02,02M422,QUEST TO LEARN,7,,,2013,81,300,28,34.6,34,42,15,18.5,4,4.9,19,23.5
02,02M422,QUEST TO LEARN,8,,,2013,52,302,14,26.9,27,51.9,6,11.5,5,9.6,11,21.2
02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",4,,,2013,38,325,1,2.6,11,28.9,15,39.5,11,28.9,26,68.4
02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",5,,,2013,46,324,7,15.2,13,28.3,16,34.8,10,21.7,26,56.5
02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",6,,Class 1,2013,24,334,0,0,7,29.2,6,25,11,45.8,17,70.8
02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",7,,,2013,24,342,0,0,6,25,9,37.5,9,37.5,18,75
02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",8,,,2013,21,336,0,0,5,23.8,9,42.9,7,33.3,16,76.2
02,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,6,,Class 1,2013,104,308,19,18.3,38,36.5,32,30.8,15,14.4,47,45.2
02,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,7,,,2013,104,309,28,26.9,41,39.4,25,24,10,9.6,35,33.7
02,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,8,,,2013,83,318,11,13.3,32,38.6,28,33.7,12,14.5,40,48.2
10,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,3,Group 1,,2013,26,296,9,34.6,10,38.5,6,23.1,1,3.8,7,26.9
10,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,4,,,2013,18,298,5,27.8,7,38.9,6,33.3,0,0,6,33.3
10,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,5,,,2013,25,299,8,32,11,44,5,20,1,4,6,24
10,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,6,,Class 1,2013,49,293,16,32.7,26,53.1,5,10.2,2,4.1,7,14.3
10,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,7,,,2013,45,295,18,40,20,44.4,5,11.1,2,4.4,7,15.6
10,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,8,,,2013,46,299,13,28.3,24,52.2,9,19.6,0,0,9,19.6
10,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,3,Group 1,,2013,62,303,11,17.7,30,48.4,14,22.6,7,11.3,21,33.9
10,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,4,,,2013,64,305,15,23.4,18,28.1,17,26.6,14,21.9,31,48.4
10,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,5,,,2013,61,306,21,34.4,16,26.2,16,26.2,8,13.1,24,39.3
10,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,6,,Class 1,2013,66,302,12,18.2,38,57.6,7,10.6,9,13.6,16,24.2
10,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,7,,,2013,60,305,17,28.3,29,48.3,11,18.3,3,5,14,23.3
10,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,8,,,2013,61,305,16,26.2,26,42.6,14,23,5,8.2,19,31.1
10,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",3,Group 1,,2013,127,292,46,36.2,62,48.8,15,11.8,4,3.1,19,15
10,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",4,,,2013,91,295,25,27.5,46,50.5,16,17.6,4,4.4,20,22
10,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",5,,,2013,105,285,64,61,26,24.8,14,13.3,1,1,15,14.3
10,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",6,,Class 1,2013,95,286,36,37.9,46,48.4,11,11.6,2,2.1,13,13.7
10,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",7,,,2013,88,288,52,59.1,30,34.1,5,5.7,1,1.1,6,6.8
10,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",8,,,2013,107,305,31,29,46,43,19,17.8,11,10.3,30,28
10,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,3,Group 1,,2013,78,285,41,52.6,27,34.6,9,11.5,1,1.3,10,12.8
10,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,4,,,2013,87,286,35,40.2,37,42.5,12,13.8,3,3.4,15,17.2
10,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,5,,,2013,77,294,33,42.9,32,41.6,9,11.7,3,3.9,12,15.6
10,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,6,,Class 1,2013,81,305,15,18.5,43,53.1,14,17.3,9,11.1,23,28.4
10,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,7,,,2013,58,303,19,32.8,22,37.9,17,29.3,0,0,17,29.3
10,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,8,,,2013,52,301,15,28.8,27,51.9,6,11.5,4,7.7,10,19.2
10,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,6,,Class 1,2013,226,281,108,47.8,92,40.7,22,9.7,4,1.8,26,11.5
10,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,7,,,2013,307,279,196,63.8,86,28,23,7.5,2,0.7,25,8.1
10,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,8,,,2013,323,280,177,54.8,117,36.2,27,8.4,2,0.6,29,9
10,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,6,,Class 1,2013,183,264,140,76.5,37,20.2,6,3.3,0,0,6,3.3
10,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,7,,,2013,228,269,179,78.5,43,18.9,5,2.2,1,0.4,6,2.6
10,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,8,,,2013,231,277,141,61,80,34.6,9,3.9,1,0.4,10,4.3
10,10X095,P.S. 095 SHEILA MENCHER,3,Group 1,,2013,125,298,37,29.6,60,48,18,14.4,10,8,28,22.4
10,10X095,P.S. 095 SHEILA MENCHER,4,,,2013,120,289,48,40,53,44.2,17,14.2,2,1.7,19,15.8
10,10X095,P.S. 095 SHEILA MENCHER,5,,,2013,111,289,61,55,34,30.6,11,9.9,5,4.5,16,14.4
10,10X095,P.S. 095 SHEILA MENCHER,6,,Class 1,2013,164,290,64,39,69,42.1,28,17.1,3,1.8,31,18.9
10,10X095,P.S. 095 SHEILA MENCHER,7,,,2013,167,294,79,47.3,50,29.9,28,16.8,10,6,38,22.8
10,10X095,P.S. 095 SHEILA MENCHER,8,,,2013,154,300,49,31.8,68,44.2,30,19.5,7,4.5,37,24
10,10X118,J.H.S. 118 WILLIAM W. NILES,6,,Class 1,2013,406,302,124,30.5,123,30.3,94,23.2,65,16,159,39.2
10,10X118,J.H.S. 118 WILLIAM W. NILES,7,,,2013,367,299,134,36.5,136,37.1,78,21.3,19,5.2,97,26.4
10,10X118,J.H.S. 118 WILLIAM W. NILES,8,,,2013,380,300,136,35.8,142,37.4,78,20.5,24,6.3,102,26.8
10,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,6,,Class 1,2013,200,300,52,26,88,44,47,23.5,13,6.5,60,30
10,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,7,,,2013,253,309,84,33.2,78,30.8,50,19.8,41,16.2,91,36
10,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,8,,,2013,239,306,52,21.8,108,45.2,57,23.8,22,9.2,79,33.1
10,10X206,I.S. 206 ANN MERSEREAU,5,,,2013,70,271,53,75.7,12,17.1,5,7.1,0,0,5,7.1
10,10X206,I.S. 206 ANN MERSEREAU,6,,Class 1,2013,84,271,54,64.3,24,28.6,6,7.1,0,0,6,7.1
10,10X206,I.S. 206 ANN MERSEREAU,7,,,2013,104,272,80,76.9,20,19.2,4,3.8,0,0,4,3.8
10,10X206,I.S. 206 ANN MERSEREAU,8,,,2013,115,291,38,33,66,57.4,10,8.7,1,0.9,11,9.6
10,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,6,,Class 1,2013,77,287,34,44.2,34,44.2,9,11.7,0,0,9,11.7
10,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,7,,,2013,79,301,27,34.2,37,46.8,14,17.7,1,1.3,15,19
10,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,8,,,2013,67,282,32,47.8,29,43.3,5,7.5,1,1.5,6,9
10,10X228,JONAS BRONCK ACADEMY,6,,Class 1,2013,84,307,15,17.9,42,50,18,21.4,9,10.7,27,32.1
10,10X228,JONAS BRONCK ACADEMY,7,,,2013,82,305,25,30.5,39,47.6,14,17.1,4,4.9,18,22
10,10X228,JONAS BRONCK ACADEMY,8,,,2013,75,303,18,24,39,52,13,17.3,5,6.7,18,24
10,10X243,WEST BRONX ACADEMY FOR THE FUTURE,6,,Class 1,2013,82,286,29,35.4,46,56.1,7,8.5,0,0,7,8.5
10,10X243,WEST BRONX ACADEMY FOR THE FUTURE,7,,,2013,83,281,56,67.5,25,30.1,2,2.4,0,0,2,2.4
10,10X243,WEST BRONX ACADEMY FOR THE FUTURE,8,,,2013,72,282,40,55.6,32,44.4,0,0,0,0,0,0
10,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,6,,Class 1,2013,150,298,47,31.3,61,40.7,32,21.3,10,6.7,42,28
10,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,7,,,2013,303,299,122,40.3,120,39.6,46,15.2,15,5,61,20.1
10,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,8,,,2013,239,304,37,15.5,147,61.5,50,20.9,5,2.1,55,23
10,10X254,I.S. 254,6,,Class 1,2013,142,278,78,54.9,49,34.5,9,6.3,6,4.2,15,10.6
10,10X254,I.S. 254,7,,,2013,133,284,74,55.6,32,24.1,22,16.5,5,3.8,27,20.3
10,10X254,I.S. 254,8,,,2013,161,283,82,50.9,54,33.5,20,12.4,5,3.1,25,15.5
10,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",3,Group 1,,2013,111,283,57,51.4,36,32.4,15,13.5,3,2.7,18,16.2
10,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",4,,,2013,93,266,66,71,22,23.7,5,5.4,0,0,5,5.4
10,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",5,,,2013,98,273,75,76.5,19,19.4,4,4.1,0,0,4,4.1
10,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",6,,Class 1,2013,130,285,58,44.6,56,43.1,12,9.2,4,3.1,16,12.3
10,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",7,,,2013,122,277,84,68.9,29,23.8,9,7.4,0,0,9,7.4
10,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",8,,,2013,120,285,53,44.2,53,44.2,11,9.2,3,2.5,14,11.7
10,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,3,Group 1,,2013,106,300,35,33,38,35.8,26,24.5,7,6.6,33,31.1
10,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,4,,,2013,87,294,26,29.9,42,48.3,13,14.9,6,6.9,19,21.8
10,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,5,,,2013,78,295,31,39.7,38,48.7,9,11.5,0,0,9,11.5
10,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,6,,Class 1,2013,77,298,18,23.4,44,57.1,12,15.6,3,3.9,15,19.5
10,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,7,,,2013,97,290,48,49.5,37,38.1,11,11.3,1,1,12,12.4
10,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,8,,,2013,100,296,41,41,32,32,23,23,4,4,27,27
10,10X308,BRONX DANCE ACADEMY SCHOOL,6,,Class 1,2013,65,300,13,20,37,56.9,14,21.5,1,1.5,15,23.1
10,10X308,BRONX DANCE ACADEMY SCHOOL,7,,,2013,72,292,36,50,28,38.9,7,9.7,1,1.4,8,11.1
10,10X308,BRONX DANCE ACADEMY SCHOOL,8,,,2013,77,290,32,41.6,37,48.1,5,6.5,3,3.9,8,10.4
10,10X315,P.S. 315 LAB SCHOOL,3,Group 1,,2013,25,302,6,24,9,36,9,36,1,4,10,40
10,10X315,P.S. 315 LAB SCHOOL,4,,,2013,24,292,9,37.5,9,37.5,5,20.8,1,4.2,6,25
10,10X315,P.S. 315 LAB SCHOOL,5,,,2013,24,300,8,33.3,9,37.5,6,25,1,4.2,7,29.2
10,10X315,P.S. 315 LAB SCHOOL,6,,Class 1,2013,36,297,10,27.8,16,44.4,7,19.4,3,8.3,10,27.8
10,10X315,P.S. 315 LAB SCHOOL,7,,,2013,28,297,11,39.3,12,42.9,3,10.7,2,7.1,5,17.9
10,10X315,P.S. 315 LAB SCHOOL,8,,,2013,27,291,10,37,16,59.3,1,3.7,0,0,1,3.7
10,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,6,,Class 1,2013,114,281,53,46.5,48,42.1,10,8.8,3,2.6,13,11.4
10,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,7,,,2013,113,275,88,77.9,22,19.5,3,2.7,0,0,3,2.7
10,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,8,,,2013,126,274,85,67.5,39,31,2,1.6,0,0,2,1.6
10,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,6,,Class 1,2013,43,282,20,46.5,18,41.9,5,11.6,0,0,5,11.6
10,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,7,,,2013,53,272,38,71.7,14,26.4,1,1.9,0,0,1,1.9
10,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,8,,,2013,74,277,40,54.1,26,35.1,7,9.5,1,1.4,8,10.8
10,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,6,,Class 1,2013,111,267,76,68.5,33,29.7,2,1.8,0,0,2,1.8
10,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,7,,,2013,129,270,103,79.8,23,17.8,3,2.3,0,0,3,2.3
10,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,8,,,2013,140,269,110,78.6,28,20,2,1.4,0,0,2,1.4
10,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),6,,Class 1,2013,123,282,56,45.5,54,43.9,11,8.9,2,1.6,13,10.6
10,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),7,,,2013,183,281,118,64.5,48,26.2,16,8.7,1,0.5,17,9.3
10,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),8,,,2013,193,283,107,55.4,67,34.7,18,9.3,1,0.5,19,9.8
10,10X390,M.S. 390,6,,Class 1,2013,101,283,45,44.6,43,42.6,9,8.9,4,4,13,12.9
10,10X390,M.S. 390,7,,,2013,148,274,101,68.2,35,23.6,12,8.1,0,0,12,8.1
10,10X390,M.S. 390,8,,,2013,119,285,60,50.4,46,38.7,11,9.2,2,1.7,13,10.9
10,10X391,THE ANGELO PATRI MIDDLE SCHOOL,6,,Class 1,2013,191,262,146,76.4,36,18.8,9,4.7,0,0,9,4.7
10,10X391,THE ANGELO PATRI MIDDLE SCHOOL,7,,,2013,208,271,152,73.1,45,21.6,11,5.3,0,0,11,5.3
10,10X391,THE ANGELO PATRI MIDDLE SCHOOL,8,,,2013,206,265,157,76.2,43,20.9,4,1.9,2,1,6,2.9
10,10X447,CRESTON ACADEMY,6,,Class 1,2013,144,292,50,34.7,69,47.9,19,13.2,6,4.2,25,17.4
10,10X447,CRESTON ACADEMY,7,,,2013,151,280,100,66.2,46,30.5,5,3.3,0,0,5,3.3
10,10X447,CRESTON ACADEMY,8,,,2013,108,298,29,26.9,56,51.9,22,20.4,1,0.9,23,21.3
20,20K030,P.S./I.S. 30 MARY WHITE OVINGTON,6,,Class 1,2013,113,307,25,22.1,41,36.3,30,26.5,17,15,47,41.6
20,20K030,P.S./I.S. 30 MARY WHITE OVINGTON,7,,,2013,121,314,22,18.2,44,36.4,42,34.7,13,10.7,55,45.5
20,20K030,P.S./I.S. 30 MARY WHITE OVINGTON,8,,,2013,123,313,25,20.3,46,37.4,31,25.2,21,17.1,52,42.3
20,20K062,J.H.S. 062 DITMAS,6,,Class 1,2013,374,293,135,36.1,143,38.2,55,14.7,41,11,96,25.7
20,20K062,J.H.S. 062 DITMAS,7,,,2013,370,283,219,59.2,95,25.7,41,11.1,15,4.1,56,15.1
20,20K062,J.H.S. 062 DITMAS,8,,,2013,394,288,182,46.2,159,40.4,43,10.9,10,2.5,53,13.5
20,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,3,Group 1,,2013,129,319,15,11.6,35,27.1,49,38,30,23.3,79,61.2
20,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,4,,,2013,143,313,17,11.9,52,36.4,53,37.1,21,14.7,74,51.7
20,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,5,,,2013,140,311,35,25,46,32.9,40,28.6,19,13.6,59,42.1
20,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,6,,Class 1,2013,148,312,20,13.5,62,41.9,44,29.7,22,14.9,66,44.6
20,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,7,,,2013,137,313,28,20.4,51,37.2,43,31.4,15,10.9,58,42.3
20,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,8,,,2013,149,319,16,10.7,53,35.6,63,42.3,17,11.4,80,53.7
20,20K163,P.S. 163 BATH BEACH,3,Group 1,,2013,90,311,20,22.2,28,31.1,25,27.8,17,18.9,42,46.7
20,20K163,P.S. 163 BATH BEACH,4,,,2013,73,311,14,19.2,21,28.8,22,30.1,16,21.9,38,52.1
20,20K163,P.S. 163 BATH BEACH,5,,,2013,76,315,17,22.4,26,34.2,19,25,14,18.4,33,43.4
20,20K163,P.S. 163 BATH BEACH,6,,Class 1,2013,65,321,8,12.3,19,29.2,20,30.8,18,27.7,38,58.5
20,20K163,P.S. 163 BATH BEACH,7,,,2013,57,315,14,24.6,15,26.3,18,31.6,10,17.5,28,49.1
20,20K163,P.S. 163 BATH BEACH,8,,,2013,54,324,4,7.4,21,38.9,20,37,9,16.7,29,53.7
20,20K180,THE SEEALL ACADEMY,3,Group 1,,2013,126,301,31,24.6,54,42.9,25,19.8,16,12.7,41,32.5
